Name (Long),Surname,Name,Party,Twitter Handle,Result 1,Result 2,Result 3,Result 4,Result 5,Result 6,Result 7,Result 8,Result 9,Result 10,Result 11,Result 12,Result 13,Result 14,Result 15,Result 16,Result 17,Result 18,Result 19,Result 20
Καμίνης Βασιλείου Γεώργιος,Καμίνης,Καμίνης Γεώργιος,ΚΙΝΑΛ,KaminisG,191033632,187181162,42091991,908055740514004994,1060853182107136001,1310534450812346370,1150740229038333952,196055042,1142441371896336385,1258018706623356928,479920794,4709946447,1284386207825182720,359522144,1290140258265309184,1347581775845867521,322568683,1197399463410581504,1180355076444934144,782142078801223680
Καστανίδης Γεωργίου Χαράλαμπος,Καστανίδης,Καστανίδης Χαράλαμπος,ΚΙΝΑΛ,KastanidisHaris,534632102,143840359,310361724,492128949,603726258,815905544414302208,3623750657,1729481161,42015035,1222145611983720449,218172553,1298628992,1252927710151806977,716156053,341994269,1351106181708853250,24434414,3028983045,4372817416,72167393
Κατρίνης Ιωάννη Μιχαήλ,Κατρίνης,Κατρίνης Μιχαήλ,ΚΙΝΑΛ,michaelkatrinis,156349857,376684598,3370346993,1372654120193101829,2422988970,1261062668452052994,1294211839673413635,607062307,2821303804,3726893836,1272560808027922432,1101678956,793189789,4787137349,535190300,713083074087616512,279547714,470573452,2279331618,2558244616
Κεγκέρογλου Αλεξάνδρου Βασίλειος,Κεγκέρογλου,Κεγκέρογλου Βασίλειος,ΚΙΝΑΛ,bkegeroglou,2648778812,748791485106008064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Κεφαλίδου Δημητρίου Χαρούλα (Χαρά),Κεφαλίδου,Κεφαλίδου Χαρά,ΚΙΝΑΛ,xarakefalidou,2571245310,4126380982,450446368,2894653528,4195036481,4361023636,4830766569,412523836,622722700,411032176,1335238856703156224,426553747,193740672,2715911511,2653028758,454811783,556758134,4102672881,556276383,722372946283667457
Κωνσταντινόπουλος Κωνσταντίνου Οδυσσέας,Κωνσταντινόπουλος,Κωνσταντινόπουλος Οδυσσέας,ΚΙΝΑΛ,Odysseas_,70713954,262780828,345817238,753454710,1364315287055663111,1391951862,72741973,269022580,1219338216953782273,1245070526701359104,377973366,1339470821694255104,1357648187675262979,2377193645,240088653,336763565,1469144012,1023875388085338112,1268796844404019200,1238891939245830145
Κωνσταντόπουλος Χρήστου Δημήτριος,Κωνσταντόπουλος,Κωνσταντόπουλος Δημήτριος,ΚΙΝΑΛ,dkonstantop,548314325,804029200315334656,189467550,41368680,3161736324,2788751875,709783314320781314,792136921,23480768,255179812,1189944505702596609,348701015,794217488,2605311464,2715065273,1069425579596939266,299393979,2717573463,433384384,92434830
Λιακούλη Θεοφάνη Ευαγγελία,Λιακούλη,Λιακούλη Ευαγγελία,ΚΙΝΑΛ,p1l1sulLrVED8tt,1258442167896457219,295526183,1274852118,1298901362990817280,389926466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Λοβέρδος Νικολάου Ανδρέας,Λοβέρδος,Λοβέρδος Ανδρέας,ΚΙΝΑΛ,a_loverdos,14502222,225931853,2601688319,2500320130,20607047,1059139405078761474,404937809,18777800,55491665,190479225,473116288,1107773292478455816,2534941104,447133163,1247242169729134593,309346507,454459263,925754511733526529,2928024783,1281531623347978240
Μουλκιώτης Βασιλείου Γεώργιος,Μουλκιώτης,Μουλκιώτης Γεώργιος,ΚΙΝΑΛ,GMoulkiotis,142826625,394700101,939781176,371371090,1324060933023518721,2668941518,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Μπαράν Νετζαντή Μπουρχάν,Μπαράν,Μπαράν Μπουρχάν,ΚΙΝΑΛ,BurhanBaranDr,35528169,21337404,134954857,2069111,2279929401,68742782,79626923,2293551781,2734237964,1228316718474366981,1871745756,26204074,307315905,2909709544,21635593,312789757,3071532203,34892394,46615577,818298237513793537
Μπιάγκης Σπυρίδωνος Δημήτριος,Μπιάγκης,Μπιάγκης Δημήτριος,ΚΙΝΑΛ,dimitrisbiagkis,3219258474,2168357347,588331329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Πανάς Νικολάου Απόστολος,Πανάς,Πανάς Απόστολος,ΚΙΝΑΛ,PanasApostolos,2249745696,2966970788,211721267,1710357224,406165450,1266190584059846656,14363290,3316356759,610589954,48984832,1092100015,1184566586071552001,866634314,121733763,220221517,329182543,37446873,18777917,345188117,524974232
Παπανδρέου Ανδρέα Γεώργιος,Παπανδρέου,Παπανδρέου Γεώργιος,ΚΙΝΑΛ,GPapandreou,1955038628,7005602,48877866,778394024,30320381,1291759307453878274,16864069,606803850,35251903,435047875,335575633,166219945,902100474270294016,66454339,2746638148,3349215995,135576172,40328061,384875852,714440166895656960
Πουλάς Θεοδοσίου Ανδρέας,Πουλάς,Πουλάς Ανδρέας,ΚΙΝΑΛ,AndreasPoulas,3536471356,537558511,789971787253682177,1040828736646602753,153175460,769749398620344321,347951559,4923906703,4245703939,229220839,767619163,2879386866,1139920016319504384,1152178585039327233,1324188410,48205212,2537224146,2722160780,1100460205656150017,1112406547198607361
Σκανδαλίδης Γεωργίου Κωνσταντίνος,Σκανδαλίδης,Σκανδαλίδης Κωνσταντίνος,ΚΙΝΑΛ,KSkandalidis,539098641,989660401099997185,3367313230,4341464014,940016631165710336,162067322,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Φραγγίδης Σταύρου Γεώργιος,Φραγγίδης,Φραγγίδης Γεώργιος,ΚΙΝΑΛ,FragidisGeorge,2759733073,533984620,185840656,798214556417921024,374365320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Γκιόκας Χρήστου Ιωάννης,Γκιόκας,Γκιόκας Ιωάννης,ΚΚΕ,,46391309,1520124499,3366488475,3187067771,2944070428,2900232509,1335955137366462465,913865059465662465,2228237455,1243647427,1360349823073927171,1005889990415605760,1225101569252786177,1060941973538947072,463977809,229235851,3397408810,1231227965998084096,2446464297,1384698049
Δελής Ιωάννη Ιωάννης,Δελής,Δελής Ιωάννης,ΚΚΕ,,745026025,2391521508,21731855,2612807188,381584575,30913282,2377321940,167774031,961908948,46880608,2897001931,196094370,900016732286447616,701258841762074624,455632260,209222072,404460930,332164497,232063614,901664676483809281
Κανέλλη Χρήστου Γαρυφαλλιά (Λιάνα),Κανέλλη,Κανέλλη Λιάνα,ΚΚΕ,,608003017,516845506,598230240,875602525,294226535,122311058,3099183887,1149809308269518848,736123287500140544,220134670,2491536714,1170869855190421505,2412234548,1353378171983421442,1662751782,2920373211,817387854326366212,271589986,2356364616,97975036
Καραθανασόπουλος Πέτρου Νικόλαος,Καραθανασόπουλος,Καραθανασόπουλος Νικόλαος,ΚΚΕ,,1180899730999693312,1189879227245416448,41321432,1056305680762785808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Κατσώτης Περικλή Χρήστος,Κατσώτης,Κατσώτης Χρήστος,ΚΚΕ,,2751390064,302449243,303475998,138461553,773756071487954944,3033794586,210926844,1205678345565818881,2972923313,360021587,1135240272001024000,1341453232820940802,199145583,28025175,1328335293536202752,2292033481,871488121,0,0,0
Κομνηνάκα Αποστόλου Μαρία,Κομνηνάκα,Κομνηνάκα Μαρία,ΚΚΕ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Κουτσούμπας Αποστόλου Δημήτριος,Κουτσούμπας,Κουτσούμπας Δημήτριος,ΚΚΕ,,2665449107,110790092,2739404469,737661652108226561,326621955,2600456766,556761559,2460644121,1283340706396995585,961575602586357760,283567218,1280283488,1178595967,3233523517,381065386,1328402885944729602,1923743904,927687375576354821,335248049,425420998
Λαμπρούλης Αριστείδη Γεώργιος,Λαμπρούλης,Λαμπρούλης Γεώργιος,ΚΚΕ,,354230722,3326498837,1345709616097861632,410192094,924021403,429351389,2726552073,49329007,193669728,0,0,0,0,0,0,0,0,0,0,0
Μανωλάκου Εμμανουήλ Διαμάντω,Μανωλάκου,Μανωλάκου Διαμάντω,ΚΚΕ,,1084782914640986112,328670674,271355533,1244399066,182509954,1673392580,344105841,238146012,2733257645,1356729417825980416,1258764592060289024,1332833797,219471882,2733222657,748057423970197504,840507972,4795208473,726726268796985344,2982314781,272836713
Μαρίνος Βασιλείου Γεώργιος,Μαρίνος,Μαρίνος Γεώργιος,ΚΚΕ,,15145700,400298631,15598444,14727549,3313520571,1255203527946907656,568173048,948609745337843712,18016243,2941339999,2318599131,2559293030,24781992,235908854,97832140,140653403,1493782879,46321336,19146635,86165036
Παπαναστάσης Αθανασίου Νικόλαος,Παπαναστάσης,Παπαναστάσης Νικόλαος,ΚΚΕ,,18413148,424139278,1293910238236532738,2749509466,344594964,1615667102,598710262,978533714,1030068978,121341848,556845959,1034439381417963522,405677239,0,0,0,0,0,0,0
Παπαρήγα Νικολάου Αλεξάνδρα,Παπαρήγα,Παπαρήγα Αλεξάνδρα,ΚΚΕ,,3008910082,572040877,408740480,345480021,173921477,2172244135,3319044057,3534677483,1219964028,1107492031,2726212950,457957950,4857443356,1716779419,1049976792868683776,382167311,449002821,762029549718736897,1223064264,418719349
Παφίλης Σπυρίδωνος Αθανάσιος,Παφίλης,Παφίλης Αθανάσιος,ΚΚΕ,,412538331,2987255241,305489746,763624113067917312,849436369,2172249624,338244362,1121425808,310473922,1124721343,486958416,2729697405,1341405965808230402,3094228469,2853382003,3093684142,911506442838069248,1621047846,400298757,753977012
Στολτίδης Δημητρίου Λεωνίδας,Στολτίδης,Στολτίδης Λεωνίδας,ΚΚΕ,,2742729608,726469350048280576,3010733601,498322704,1050440783504048128,2169153097,397481795,2924526494,556795229,394786327,184856784,2841796414,2480812860,909352096113164293,376828530,3008279759,814481438666031104,1727697030,424827535,1379409278
Συντυχάκης Δανιήλ Εμμανουήλ,Συντυχάκης,Συντυχάκης Εμμανουήλ,ΚΚΕ,,2897182756,4151271807,761238948609921024,1217197335064784897,2593921914,2788722671,3289964254,810160830872485889,0,0,0,0,0,0,0,0,0,0,0,0
Αδαμοπούλου Αθανασίου Αγγελική,Αδαμοπούλου,Αδαμοπούλου Αγγελική,ΜέΡΑ25,,1255052667459698693,1137627643120115713,1327642480528019459,306236109,4296259769,499970446,344068891,3034652643,254448339,329585893,168152342,33630576,2797734477,2262269195,1325243905,541129658,835819308,2875263036,741098234,407599236
Αδάμου Στεργίου Κωνσταντίνα,Αδάμου,Αδάμου Κωνσταντίνα,ΜέΡΑ25,konstantinaada1,12423202,955594970202890242,1202326698,19181336,2149786468,49966058,581344342,22345014,1302991130427039744,701787393205137411,1064247257481052161,894172663,21397523,135845987,299615149,31389082,33934247,290731578,1835415248,1190600537730899970
Απατζίδη Κυρίλλου Μαρία,Απατζίδη,Απατζίδη Μαρία,ΜέΡΑ25,ApatzidiM,4744031233,1219343130065014792,1648516544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Βαρουφάκης Γεωργίου Ιωάννης (Γιάνης),Βαρουφάκης,Βαρουφάκης Γιάνης,ΜέΡΑ25,yanisvaroufakis,124690469,3003273563,1070712392043118592,3012736641,810059528746242052,3011868982,1114222619686002689,891738717035036673,794503786643464192,891987963952984065,3096012087,3243159033,3243331091,1104109370831523841,3302495623,349723122,3365769389,3095757774,3338734583,719641614407331840
Λογιάδης Σοφοκλή - Εμμανουήλ Γεώργιος,Λογιάδης,Λογιάδης Γεώργιος,ΜέΡΑ25,GeorgeLogiadis,1168885946361757705,864606057200484352,1559353826,345852858,349013732,20243132,796046887740641280,991067150,790268749832155136,3079793105,347371363,1012004317551910912,0,0,0,0,0,0,0,0
Μπακαδήμα Αγαθοκλή Φωτεινή,Μπακαδήμα,Μπακαδήμα Φωτεινή,ΜέΡΑ25,fbakadima,350800867,907807254363197440,2413541111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Αρσένης Δημοκράτη Κρίτων - Ηλίας,Αρσένης,Αρσένης Ηλίας,ΜέΡΑ25,karsenis,1582969298,33973349,231827225,106471012,2181822631,1013845001124679680,44166227,1256327544095289344,924716726,92969084,814077050,1364776320,405090718,28973617,274501217,60539434,3045420418,518587863,2471400938,85466467
Γρηγοριάδης Γεωργίου Κλέων,Γρηγοριάδης,Γρηγοριάδης Κλέων,ΜέΡΑ25,,20830972,18427035,66391597,212934720,3135877403,188800984,2982395157,234492572,225370611,483342490,621320443,2450311415,494458392,4264334302,167492525,403972347,588977829,293141897,514297239,34696370
Σακοράφα Ηλία Σοφία,Σακοράφα,Σακοράφα Σοφία,ΜέΡΑ25,SofiaSakorafa,533082734,34933083,339660904,4151955147,3814373025,2869993197,2420240154,3089036638,402724313,1286992664953597952,1330241999400820749,1935437365,4068224488,488259098,1246473024213340160,2960672253,2587526257,435080473,1849380930,1375063351139704843
Γεραπετρίτης Βασιλείου Γεώργιος,Γεραπετρίτης,Γεραπετρίτης Γεώργιος,ΝΔ,,2788297921,3121455473,946342163859869696,2456023619,1352290832553037827,230062132,1073852168183169026,101857523,383451146,127197676,2321120680,1596833700,230143067,877131150950633472,929594264211939328,251044630,265628941,480628232,227133017,963120824759832576
Γιαννάκου Παναγιώτη Μαριορή (Μαριέττα),Γιαννάκου,Γιαννάκου Μαριέττα,ΝΔ,m_giannakou,869828658,714919709,2888002594,953576567317417984,886723075,1205241792,893615474,987316371359924224,145394491,1249328927497216000,140164329,1106899332442308608,30933847,396413899,37407549,3008126679,953143642314690560,293588379,1715862908,2439111762
Θεοδωρικάκος Δημητρίου Παναγιώτης (Τάκης),Θεοδωρικάκος,Θεοδωρικάκος Τάκης,ΝΔ,theodorikakosp,1190971109337944064,1242737170705768450,254077787,2242048100,3317247079,1082250430548070401,1419301706,1355108621886115841,789587696,1303962288802627584,1006217499820593154,3320896649,121335540,745508653,0,0,0,0,0,0
Πικραμμένος Όθωνος Παναγιώτης,Πικραμμένος,Πικραμμένος Παναγιώτης,ΝΔ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ταραντίλης Δημητρίου Χρήστος,Ταραντίλης,Ταραντίλης Χρήστος,ΝΔ,xtarantilis,536018555,2696080495,971805882,1341189182312468480,615137312,255125307,3876058214,327983857,338910425,3465486975,2250105214,899207698595676160,949916921813614598,1425902731,404919643,536015065,0,0,0,0
Συρίγος Ματθαίου Ευάγγελος (Άγγελος),Συρίγος,Συρίγος Άγγελος,ΝΔ,angelossyrigos,390931699,81831547,2661343916,422814594,835954705,1587576084,831563671,484139019,41370762,2724835344,498711583,2199012023,335946861,188467060,725753786,731021905675886592,2395003162,588065953,2744428841,395892854
