Name (Long),Surname,Name,Party,Twitter Handle,Result 1,Result 2,Result 3,Result 4,Result 5,Result 6,Result 7,Result 8,Result 9,Result 10,Result 11,Result 12,Result 13,Result 14,Result 15,Result 16,Result 17,Result 18,Result 19,Result 20
Καμίνης Βασιλείου Γεώργιος,Καμίνης,Καμίνης Γεώργιος,ΚΙΝΑΛ,KaminisG,191033632,1589560872,707816406,187181162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Καστανίδης Γεωργίου Χαράλαμπος,Καστανίδης,Καστανίδης Χαράλαμπος,ΚΙΝΑΛ,KastanidisHaris,4873626832,3294027371,933464402468143104,954931534947147777,1335315123041423366,3124580605,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Κατρίνης Ιωάννη Μιχαήλ,Κατρίνης,Κατρίνης Μιχαήλ,ΚΙΝΑΛ,michaelkatrinis,32475807,2469046673,924543216870940672,866653610633035777,866655131517038592,1197756937,866656539389677569,1054490274741829633,0,0,0,0,0,0,0,0,0,0,0,0
Κεγκέρογλου Αλεξάνδρου Βασίλειος,Κεγκέρογλου,Κεγκέρογλου Βασίλειος,ΚΙΝΑΛ,bkegeroglou,1685324635,907948886,588106696,3372230513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Κεφαλίδου Δημητρίου Χαρούλα (Χαρά),Κεφαλίδου,Κεφαλίδου Χαρά,ΚΙΝΑΛ,xarakefalidou,3340907285,622722700,720936201100926976,4405540413,797741839013072896,2860579048,1082704255,3060238121,930848883072208897,2850302636,4297500436,2985524613,930850466761793536,920726249986756613,2291248806,2353484376,0,0,0,0
Κωνσταντινόπουλος Κωνσταντίνου Οδυσσέας,Κωνσταντινόπουλος,Κωνσταντινόπουλος Οδυσσέας,ΚΙΝΑΛ,Odysseas_,70713954,1363519302142468105,1361079800203476993,3033301179,1298221050262687749,966384914995216384,916018040176816129,3872063716,2985624712,966388602329550849,932924841958760448,1357335909939638272,1361976306792083457,966384087056506880,0,0,0,0,0,0
Κωνσταντόπουλος Χρήστου Δημήτριος,Κωνσταντόπουλος,Κωνσταντόπουλος Δημήτριος,ΚΙΝΑΛ,dkonstantop,548314325,3308342351,808310341385981952,850614662,406858757,1432471826,1247500978485637122,1313769803820281856,950460738467979265,300193921,932360544497127427,1039641479378100225,1355470833536430081,1337087037346811905,1341044396729483264,1053942099316559872,1327245687722008577,1175418177104297989,1366441612092583938,299193475
Λιακούλη Θεοφάνη Ευαγγελία,Λιακούλη,Λιακούλη Ευαγγελία,ΚΙΝΑΛ,p1l1sulLrVED8tt,1080196461151862784,1156878352759894016,3033500362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Λοβέρδος Νικολάου Ανδρέας,Λοβέρδος,Λοβέρδος Ανδρέας,ΚΙΝΑΛ,a_loverdos,225931853,2500320130,1331372949367107588,2308316569,3306210891,2281724040,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Μουλκιώτης Βασιλείου Γεώργιος,Μουλκιώτης,Μουλκιώτης Γεώργιος,ΚΙΝΑΛ,GMoulkiotis,1191680252201852931,1364997519764316160,2512671294,1217094994605105153,821425608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Μπαράν Νετζαντή Μπουρχάν,Μπαράν,Μπαράν Μπουρχάν,ΚΙΝΑΛ,BurhanBaranDr,821467254323822593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Μπιάγκης Σπυρίδωνος Δημήτριος,Μπιάγκης,Μπιάγκης Δημήτριος,ΚΙΝΑΛ,dimitrisbiagkis,1159407842350288896,1160216175038664705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Πανάς Νικολάου Απόστολος,Πανάς,Πανάς Απόστολος,ΚΙΝΑΛ,PanasApostolos,47363831,1259340614,577853130,944171401401036802,1347278880709738511,359591625,3224014707,2868290420,1313801636263985153,771070978369679360,1071446344223612930,771322386880819200,836296519,2641744841,4572005566,1313339695192047616,1096586359,731216079788355584,771322385609949184,1348998592523075588
Παπανδρέου Ανδρέα Γεώργιος,Παπανδρέου,Παπανδρέου Γεώργιος,ΚΙΝΑΛ,GPapandreou,1354193972793651200,1055786095,1299812776009965569,905068519880105984,2966159116,243364285,820991410459607040,3039317141,1190920214302601216,2882345182,899981309623316480,2445221244,1358180201818181638,847822629914521602,4097549968,1330787434704097280,956242308,1269678542,517556246,750102242
Πουλάς Θεοδοσίου Ανδρέας,Πουλάς,Πουλάς Ανδρέας,ΚΙΝΑΛ,AndreasPoulas,347951559,959866406111268864,2840637443,137802982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Σκανδαλίδης Γεωργίου Κωνσταντίνος,Σκανδαλίδης,Σκανδαλίδης Κωνσταντίνος,ΚΙΝΑΛ,KSkandalidis,539098641,745967318,2304348411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Φραγγίδης Σταύρου Γεώργιος,Φραγγίδης,Φραγγίδης Γεώργιος,ΚΙΝΑΛ,FragidisGeorge,1248746286460919810,486748532,700881824109764608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Γκιόκας Χρήστου Ιωάννης,Γκιόκας,Γκιόκας Ιωάννης,ΚΚΕ,,3187067771,2900232509,805166491360489473,3389856695,733757309218922497,4062840561,424948440,3147453309,808663477535522816,3141387995,4587846857,1573508768,860032896,2424365619,707675771129749504,1251557905049976834,1332596370147069953,2318283210,3334401562,747592393
Δελής Ιωάννη Ιωάννης,Δελής,Δελής Ιωάννης,ΚΚΕ,,337363974,3817126355,980458185449406465,729429494755405824,2758248554,1308647557300707328,1399575078,790695732550438912,1285847127189577728,2301504532,746957239,3094720918,1329801018314530816,1258366276302405632,3075655366,2731769326,2934510357,1361652830881411073,1333084574004482049,1133835384528474112
Κανέλλη Χρήστου Γαρυφαλλιά (Λιάνα),Κανέλλη,Κανέλλη Λιάνα,ΚΚΕ,,3099183887,2251969609,282513153,705800653495508992,3303568055,4503606976,3311130592,233631408,4226270075,1365633261578432512,555095770,2920373211,4119399388,1179785649815207936,3997254466,3089729051,4426363533,3945765586,3004257417,2744359179
Καραθανασόπουλος Πέτρου Νικόλαος,Καραθανασόπουλος,Καραθανασόπουλος Νικόλαος,ΚΚΕ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Κατσώτης Περικλή Χρήστος,Κατσώτης,Κατσώτης Χρήστος,ΚΚΕ,,1317401040111702016,868499638227271681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Κομνηνάκα Αποστόλου Μαρία,Κομνηνάκα,Κομνηνάκα Μαρία,ΚΚΕ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Κουτσούμπας Αποστόλου Δημήτριος,Κουτσούμπας,Κουτσούμπας Δημήτριος,ΚΚΕ,,563969004,3348899998,747439617381629952,906140284475637761,728152442735464448,1184542263273279494,1162655282306146304,808960237537554432,931937762776895489,2383642875,4459275400,1263502048693227520,1083479888,536687518,1065910595919233026,771374005026709504,3411316749,3289170044,2360878234,741366704681390081
Λαμπρούλης Αριστείδη Γεώργιος,Λαμπρούλης,Λαμπρούλης Γεώργιος,ΚΚΕ,,3018756232,1208391198605484034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Μανωλάκου Εμμανουήλ Διαμάντω,Μανωλάκου,Μανωλάκου Διαμάντω,ΚΚΕ,,1129835866334089217,1244366589538992129,818043588021993473,490500085,2254990796,76769091,898292565132406788,788804572093485057,3214729657,3305757851,2724486038,3177957129,729408559411302401,889078694643470336,3889791203,816200552195440640,1310996359,0,0,0
Μαρίνος Βασιλείου Γεώργιος,Μαρίνος,Μαρίνος Γεώργιος,ΚΚΕ,,568173048,192413992,820536156098097152,390511321,2244503809,728978153528537088,4148779185,4696724539,4749278417,727473723792625665,2619754515,2872119184,733736684504895492,2932087930,1159090662454824960,1942062565,3018071987,1023921612440195073,875587152,1344110503
Παπαναστάσης Αθανασίου Νικόλαος,Παπαναστάσης,Παπαναστάσης Νικόλαος,ΚΚΕ,,917089834736521216,1374181664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Παπαρήγα Νικολάου Αλεξάνδρα,Παπαρήγα,Παπαρήγα Αλεξάνδρα,ΚΚΕ,,586748532,1243578089403224064,1008816125088550915,1299782574575845380,879432227389616129,720931387763769344,0,0,0,0,0,0,0,0,0,0,0,0,0,0
