Hotel City;Hotelname;Account;Results;Found;Place
Rethymno;Hotel Odyssia Beach;TRUE;TRUE;FALSE;-1
Rethymno;SENTIDO Aegean Pearl;TRUE;TRUE;TRUE;1
Rhodos;smartline Semiramis;TRUE;TRUE;FALSE;-1
Rhodos;Rhodos Horizon Resort;TRUE;TRUE;TRUE;1
Roda;Hotel Angela Beach;FALSE;TRUE;FALSE;-1
Roda;Angela Beach Apartments Superior;FALSE;TRUE;FALSE;-1
Sani;Sani Beach;TRUE;TRUE;TRUE;5
Sisi;Maritimo Beach Hotel;FALSE;TRUE;FALSE;-1
Stalis;Eurohotel Katrin Suites;TRUE;TRUE;TRUE;1
Stalis;Hotel Marlena;FALSE;TRUE;FALSE;-1
Stalis;SENTIDO Blue Sea Beach;TRUE;TRUE;TRUE;2
Stalis;Sergiani Garden Apartments;TRUE;TRUE;FALSE;-1
Stalis;Eurohotel Katrin Hotel & Bungalows;TRUE;TRUE;TRUE;1
Tigaki;Hotel Gaia Village;TRUE;TRUE;TRUE;1
Tigaki;Hotel Gaia In Style;TRUE;TRUE;TRUE;2
Tigaki;Hotel Tigaki’s Star;TRUE;TRUE;FALSE;-1
