id,screen_name,category
4cbacae04352a1cd191995f5,ThganiesSxares,Greek Restaurant
4cbc55dd7a5d9eb0cb5c31e9,sheratonrhodes,Hotel
4cbe10831c6c6dcbfdb1655e,galileo_gr,General College & University
4cc36747c844721e3c05e301,firahotels,Hotel
4cd26344158c5481a8d3aee4,DotsoftSA,Tech Startup
4cd41aeebaf2f04d9775b2a3,Dana_weddings,Hotel
4cd900d01891236ab929390b,nyc_gr,University
4cda5ac6a1bba35da02e8ee5,NovaGreece,Electronics Store
4cda6d2f6ad1a09395fde556,IekDelta,Trade School
4ce3762605f7a093ec9da028,COOCafeBar,Bar
4ce57c59023676eb370cebb9,KarenMillen,Women's Store
4cf4cc3ecfb08eec1fbbf2be,winbank_tweets,Bank
4d012bde1ebe6dcbe0c58b91,Napapijri,Clothing Store
4d09e97e86b0236ada8eb606,TommyHilfiger,Clothing Store
4d11c9d26360a35de59d8c88,NestorYannakis,Salon / Barbershop
4d1288dad0fda0933395ac57,ElGrecoHotel,Hotel
4d15dc9b6d1037044fba2cbd,HyattTweets,Hotel
4d1a114cb15cb1f74b66c721,madmacsgr,Electronics Store
4d1b75751683a14395917d51,Camper,Shoe Store
4d1fd68270ca60fcfb8c2c5e,artsoundgr,Music Store
4d20c26ae56f6ea87cb5771d,Nooon_Cafe,Café
4d2456cfc5f2a1cd775452cf,Petersportgr,Sporting Goods Shop
4d2b2fc6342d6dcb20b013cb,ABVassilopoulos,Supermarket
4d2daa3a762fa143bd477b64,Splash_sauna,Bath House
4d354fe5eefa8cfaf74a53b3,katerinazee,Design Studio
4d369c4a61a260fc1b24227b,SPGamingNet,Internet Cafe
4d3db64b3ec9a35deee45381,body_shine,Tanning Salon
4d3fc369255d8cfa3ad05e05,PEM_PAT,Office
4d401a57adb6236af0fc8440,ReplayGR,Clothing Store
4d41654790f9224b752e0f1e,KotsovolosOn,Electronics Store
4d43160fb6e73704b1788c09,GlobalSomaNgo,Office
4d4d82af9ee1370454aa848b,LindyHopGreece,Dance Studio
4d51e496994dba7a91e517ec,remvibar,Café
4d59116e23e0a093f4524049,DEI_GR,Building
4d592fe7700b8eecd0c96bdc,StStelios,Grocery Store
4d622c90ef378cfa35e193a6,petrosgentilini,Vineyard
4d6765e36ddb5941a286f46f,ammosRestaurant,Greek Restaurant
4d6e8e61134ea143ef57921a,ZPalace,Hotel
4d700c1f0d996dcb4a41c08e,INSPOT,Internet Cafe
4d74150c949854819059257e,NepheliHotel,Hotel
4d75dc69f86fa1cde2fa79a8,smafroditi,Grocery Store
4d7759b6396f37041253a638,EasyBikeGr,Tech Startup
4d7b72152b732c0f9f2385f5,speak_languages,General College & University
4d7cc89dea35236a9eeb5e23,RoyalHotelGR,Hotel
4d7f40e1870037043a668099,LindianVillage,Hotel
4d838c1781fdb1f7fa4be9bf,BSB_fashion,Women's Store
4d865091fb95d7ce414dde63,delipharmacy,Pharmacy
4d88a0cf3acc6dcba3690b1c,GregorysGr,Snack Place
4d88e77fbc848cfacb1fb72b,Mango,Women's Store
4d90a3d1788c54810cb568fd,TaurusHellasSec,Miscellaneous Shop
4d984e32b188721e69cd2437,Mandoulides,Private School
4d9c881dffb92d43f6991b88,Astarte_Suites,Hotel
4d9f5adf8b5741bdacfe8240,RalphLauren,Clothing Store
4d9f6690865d5481bdff3413,Ma_Giw,Beach Bar
4d9f8ecaa77d816e94850509,bp_plc,Gas Station
4da05cfe58c2224bf25a5079,santorinimario,Greek Restaurant
4da0a40ebf22a143dcc587f8,lobbyclubstage,Nightclub
4da496d8bf22a1431c94e1f8,ktelkefalonias,Bus Station
4da59e464b2280544b604cf9,MedFitnessgr,Gym / Fitness Center
4da62b970f2ceb2f8ff672c6,aressanahotel,Hotel
4da9db514df01c19b17c12a5,HUGOBOSS,Men's Store
4dab0a54561462f27d939038,ThermesVillas,Hotel
4daca0604df0c11fcb62f817,CostaCostaBar,Beach Bar
4daebdf14b229076786ca44e,Tango_Santorini,Cocktail Bar
4db11e1a8154905aadba06f3,Avis_Greece,Rental Car Location
4db11ed143a1bea42bc499e8,2psthess,Fire Station
4db12ca193a06157684f9561,ambotis,Travel Agency
4db17db88154905aadc10e55,SephoraGreece,Cosmetics Shop
4db19135a86e63d2116dc159,AtlantisBooks,Bookstore
4db1f8c1cda14b702a523547,roadhousebeach,Beach Bar
4db70c2b6a23c31a034bcc1c,lartigiano,Pizza Place
4db832f4a86e0cd3b66044b2,PrintRoomGR,Paper / Office Supplies Store
4dbf948c4df0f8fd6b89f624,it_teithe_gr,College Technology Building
4dc2f7cd1f6ef43b89d7b2c3,HeavensDoor5,Café
4dc40b18b0fb5556cccc7102,stradivarius,Women's Store
4dcd38c3d4c065592f5fad66,swarovski,Jewelry Store
4dce5b1522718eed7a357afa,makedoniamall,Shopping Mall
4dce7eb5c65bdac71361e128,ChaplinFaliraki,Beach Bar
4dd7d3571838b8561cf059a6,sunpalace_rodos,Hotel
4dda24531520f8ce73d0dd05,GraceHotels,Hotel
4ddbde4d81305a46dba1bc5b,kitchenwas,Advertising Agency
4de23aa92271bfb84495fd28,pkcocktailbar,Cocktail Bar
4de758ad2271b9ccf4da324e,eltrak,Office
