ID,Twitter,Category
"4c42da60d7fad13addbc09da","giannikoshotel","Hotel"
"4c42f3b6cc410f479b7ead61","portovalitsa","Resort"
"4c442aff74ffc9282a2275cc","_follifollie","Jewelry Store"
"4c4432ef36d6a59335176aa8","diesel","Clothing Store"
"4c4963c21b430f475f5076c3","alpha_bank","Bank"
"4c49703d3013a593a31bbbe2","domainesigalas","Winery"
"4c4d2bad2bf7ef3b2844a192","astrasuites","Hotel"
"4c4d62fa9efabe9a3f806968","chromatahotel","Hotel"
"4c4df3cef53d0f476db5cfa5","maffair","Salon / Barbershop"
"4c4fd51c371520a12f204ec0","alpha_bank","Bank"
"4c4ffcdb8edf0f47f2397fae","plaisiocomp","Electronics Store"
"4c53e9396a4bb71399431d27","qcsthessaloniki","Miscellaneous Shop"
"4c57caca7613b713394f91ea","zara","Clothing Store"
"4c5ab354d3aee21e943f6b55","rodiamare","Beach"
"4c5c5e1d7735c9b633148c72","tassiafiscardo","Greek Restaurant"
"4c651c7594160f47947e2e17","mojitobeachbar1","Beach Bar"
"4c671112e75ac9282285f9da","aquagrand","Hotel"
"4c6ce26e99b9236ac2d0e3c9","watchmouse","Tech Startup"
"4c6d82f1e6b7b1f78af4a98e","massalia2010","Greek Restaurant"
"4c7114c8df6b8cfa350eba4d","bakalistaverna","Fish Taverna"
"4c7377d8376da093182da9c6","kastelliresort","Resort"
"4c7650b2c219224b90cba428","mlslifesimple","Office"
"4c78dde6bd346dcb9384f3ef","vodafone_gr","Mobile Phone Shop"
"4c7fab64fb74236a2eb4fab9","alexandrabeacht","Hotel"
"4c7fb16d2042b1f7c990c3ad","tsipouropower","Ouzeri"
"4c7fb90ef4cf9c748614a5a0","dominosgreece","Pizza Place"
"4c82308dd34ca14363512980","eko_greece","Gas Station"
"4c82aac451ada1cd7eeb1e10","antigonibeach","Hotel"
"4c8530b22f1c236a195f5243","prigipos_","Kafenio"
"4c86544de602b1f712fdbe7a","publicstores","Electronics Store"
"4c86a95e47cc224bbf8aab9f","sevenspot","Video Store"
"4c890ea9944e224be75f2185","savvikos_1947","Grilled Meat Restaurant"
"4c8b74461eafb1f7679d8335","helexposocial","Convention Center"
"4c8f95c858668cfa505ddbec","holidayinn","Hotel"
"4c928d3af600236acdfebd32","sharkgr","Bar"
"4c935c042bf7b60cd53d6a0a","offradio","Radio Station"
"4c947703533aa0938fc3bf45","hondoscenter","Cosmetics Shop"
"4c94b8d0efecb7134c61e09d","elcthessaloniki","General College & University"
"4c9b3ffd292a6dcb9291d576","white_suites","Hotel"
"4c9f2da70313370458e06fd5","santorinigr","Island"
"4ca1a44c79d9b1f77616c199","actgreece","University"
"4ca72899f47ea14351736721","goodyscom","Burger Joint"
"4caafd7314c337047251e63b","lindianapollo","Cocktail Bar"
"4cab906676d3a093bb322d6b","goodyscom","Fast Food Restaurant"
"4cada44c8c48a093d04d6d2c","alpha_bank","Bank"
"4caf0adfbabebfb787c1a1ab","rhodes_hotels","Hotel"
"4cb06df71168a09368592a23","konstandinidis_","Dessert Shop"
"4cb7669e0011b713c2cee7b9","sportsbar_","Sports Bar"
"4cbacae04352a1cd191995f5","thganiessxares","Greek Restaurant"
"4cbc53a97a5d9eb0065b31e9","spg","Hotel"
"4cbc55dd7a5d9eb0cb5c31e9","sheratonrhodes","Hotel"
"4cbe10831c6c6dcbfdb1655e","galileo_gr","General College & University"
"4cc36747c844721e3c05e301","firahotels","Hotel"
