screen_name;neademokratia;syriza_gr;kinimallagis;ellinikilisi;mera25_gr;kmitsotakis;atsipras;FofiGennimata;velopky;yanisvaroufakis
DimVartzopoulos;1.0;2.0;2.0;2.0;2.0;1.0;1.0;1.0;1.0;1.0
KalafatisSt;1.0;2.0;2.0;2.0;2.0;1.0;1.0;2.0;1.0;1.0
ZettaMakri;1.0;1.0;2.0;2.0;2.0;1.0;1.0;1.0;1.0;1.0
pasxalidisjohn;3.0;3.0;2.0;2.0;2.0;1.0;3.0;2.0;2.0;4.0
athbouras;1.0;2.0;2.0;2.0;3.0;1.0;3.0;2.0;2.0;3.0
Tzavaraskon;1.0;3.0;2.0;3.0;2.0;1.0;3.0;3.0;3.0;3.0
T_Cheimaras;1.0;2.0;2.0;2.0;2.0;1.0;2.0;2.0;2.0;3.0
Vlachos_G;3.0;3.0;2.0;2.0;2.0;1.0;3.0;2.0;2.0;3.0
VASILISKOKKALHS;3.0;3.0;2.0;3.0;2.0;3.0;1.0;2.0;2.0;3.0
karsenis;4.0;1.0;2.0;2.0;1.0;2.0;1.0;2.0;2.0;1.0
periklismantas;1.0;1.0;2.0;2.0;2.0;1.0;1.0;1.0;1.0;1.0
DKouvelas;1.0;2.0;2.0;2.0;2.0;1.0;1.0;1.0;2.0;1.0
kostasbarkas;1.0;1.0;2.0;2.0;2.0;1.0;1.0;1.0;2.0;2.0
TagarasNikos;3.0;3.0;2.0;3.0;3.0;1.0;3.0;3.0;2.0;3.0
m_giannakou;1.0;1.0;2.0;2.0;2.0;1.0;4.0;1.0;2.0;1.0
kellas_xristos;1.0;2.0;2.0;2.0;2.0;1.0;3.0;2.0;1.0;1.0
patsis_andreas;1.0;1.0;1.0;2.0;2.0;1.0;1.0;1.0;1.0;1.0
sakis_papad;3.0;1.0;2.0;3.0;2.0;3.0;1.0;3.0;3.0;1.0
giorgostsipras;3.0;1.0;2.0;2.0;2.0;3.0;1.0;2.0;2.0;1.0
fbakadima;2.0;2.0;2.0;2.0;1.0;2.0;1.0;2.0;2.0;1.0
kostasmpoumpas;1.0;2.0;2.0;1.0;2.0;1.0;3.0;1.0;1.0;3.0
neokliskritikos;-2.0;-2.0;-2.0;-2.0;-2.0;-2.0;-2.0;-2.0;-2.0;-2.0
B3Vagenas;3.0;2.0;2.0;2.0;3.0;1.0;3.0;2.0;1.0;3.0
VroutsisGiannis;1.0;1.0;2.0;2.0;2.0;1.0;1.0;1.0;1.0;3.0
katsaniotis;1.0;2.0;2.0;2.0;2.0;1.0;1.0;1.0;2.0;2.0
G_Plakiotakis;1.0;2.0;2.0;2.0;2.0;1.0;3.0;2.0;1.0;4.0
KonstantinaAda1;3.0;3.0;2.0;3.0;3.0;3.0;3.0;3.0;3.0;1.0
tr_alexandros;2.0;1.0;2.0;2.0;2.0;2.0;1.0;2.0;2.0;1.0
ChrisDermen;1.0;1.0;2.0;2.0;2.0;1.0;2.0;2.0;2.0;1.0
lakis_vas;1.0;2.0;2.0;2.0;2.0;1.0;2.0;2.0;2.0;3.0
a_avlonitis;3.0;1.0;2.0;2.0;2.0;1.0;1.0;2.0;2.0;2.0
MVoloudakis;1.0;2.0;2.0;2.0;2.0;1.0;2.0;2.0;1.0;3.0
GMoulkiotis;3.0;1.0;1.0;2.0;2.0;3.0;1.0;1.0;2.0;3.0
davgeri;3.0;2.0;2.0;2.0;2.0;1.0;1.0;1.0;1.0;1.0
PetiPerka;2.0;1.0;2.0;2.0;2.0;1.0;1.0;2.0;2.0;2.0
savanastasiadis;1.0;2.0;2.0;2.0;2.0;1.0;2.0;2.0;2.0;2.0
ybalafas;1.0;1.0;2.0;2.0;2.0;1.0;1.0;1.0;1.0;1.0
chboukoros1;1.0;2.0;2.0;2.0;2.0;1.0;1.0;1.0;2.0;1.0
t_bartzokas;1.0;2.0;2.0;2.0;2.0;1.0;2.0;2.0;2.0;3.0
K_Hatzidakis;1.0;1.0;2.0;2.0;2.0;1.0;1.0;1.0;1.0;2.0
