Name (Long),Surname,Name,Party,Twitter Handle,Result 1,Result 2,Result 3,Result 4,Result 5,Result 6,Result 7
Σκανδαλίδης Γεωργίου Κωνσταντίνος,Σκανδαλίδης,Σκανδαλίδης Κωνσταντίνος,ΚΙΝΑΛ,539098641,539098641,0,0,0,0,0,0
Φραγγίδης Σταύρου Γεώργιος,Φραγγίδης,Φραγγίδης Γεώργιος,ΚΙΝΑΛ,1248746286460919810,1248746286460919808,0,0,0,0,0,0
Γκιόκας Χρήστου Ιωάννης,Γκιόκας,Γκιόκας Ιωάννης,ΚΚΕ,0,0,0,0,0,972945661804122113,0,0
Δελής Ιωάννη Ιωάννης,Δελής,Δελής Ιωάννης,ΚΚΕ,0,0,0,0,0,0,0,0
Κανέλλη Χρήστου Γαρυφαλλιά (Λιάνα),Κανέλλη,Κανέλλη Λιάνα,ΚΚΕ,0,0,0,0,0,0,0,0
Καραθανασόπουλος Πέτρου Νικόλαος,Καραθανασόπουλος,Καραθανασόπουλος Νικόλαος,ΚΚΕ,0,0,0,0,0,0,0,0
Κατσώτης Περικλή Χρήστος,Κατσώτης,Κατσώτης Χρήστος,ΚΚΕ,0,0,0,0,0,0,0,0
Κομνηνάκα Αποστόλου Μαρία,Κομνηνάκα,Κομνηνάκα Μαρία,ΚΚΕ,0,0,0,0,0,0,0,0
Κουτσούμπας Αποστόλου Δημήτριος,Κουτσούμπας,Κουτσούμπας Δημήτριος,ΚΚΕ,0,414090002,0,0,0,0,0,0
Λαμπρούλης Αριστείδη Γεώργιος,Λαμπρούλης,Λαμπρούλης Γεώργιος,ΚΚΕ,0,0,0,0,0,0,0,0
Μανωλάκου Εμμανουήλ Διαμάντω,Μανωλάκου,Μανωλάκου Διαμάντω,ΚΚΕ,0,0,0,0,0,0,0,0
Μαρίνος Βασιλείου Γεώργιος,Μαρίνος,Μαρίνος Γεώργιος,ΚΚΕ,0,0,0,0,0,0,0,0
Παπαναστάσης Αθανασίου Νικόλαος,Παπαναστάσης,Παπαναστάσης Νικόλαος,ΚΚΕ,0,0,0,0,0,0,0,0
Παπαρήγα Νικολάου Αλεξάνδρα,Παπαρήγα,Παπαρήγα Αλεξάνδρα,ΚΚΕ,0,0,0,0,0,0,0,0
Παφίλης Σπυρίδωνος Αθανάσιος,Παφίλης,Παφίλης Αθανάσιος,ΚΚΕ,0,0,0,0,0,0,0,0
Στολτίδης Δημητρίου Λεωνίδας,Στολτίδης,Στολτίδης Λεωνίδας,ΚΚΕ,0,0,0,0,0,0,0,0
Συντυχάκης Δανιήλ Εμμανουήλ,Συντυχάκης,Συντυχάκης Εμμανουήλ,ΚΚΕ,0,0,0,0,0,0,0,0
Αδαμοπούλου Αθανασίου Αγγελική,Αδαμοπούλου,Αδαμοπούλου Αγγελική,ΜέΡΑ25,0,0,0,0,0,1086661281363439617,0,0
Αδάμου Στεργίου Κωνσταντίνα,Αδάμου,Αδάμου Κωνσταντίνα,ΜέΡΑ25,2458564941,0,0,0,0,0,0,0
Απατζίδη Κυρίλλου Μαρία,Απατζίδη,Απατζίδη Μαρία,ΜέΡΑ25,1219343130065014792,0,0,0,0,0,0,0
Βαρουφάκης Γεωργίου Ιωάννης (Γιάνης),Βαρουφάκης,Βαρουφάκης Γιάνης,ΜέΡΑ25,124690469,0,0,0,0,124690469,0,0
Λογιάδης Σοφοκλή - Εμμανουήλ Γεώργιος,Λογιάδης,Λογιάδης Γεώργιος,ΜέΡΑ25,1168885946361757705,1168885946361757696,0,0,0,0,0,0
Μπακαδήμα Αγαθοκλή Φωτεινή,Μπακαδήμα,Μπακαδήμα Φωτεινή,ΜέΡΑ25,350800867,350800867,0,0,0,0,0,0
Αρσένης Δημοκράτη Κρίτων - Ηλίας,Αρσένης,Αρσένης Ηλίας,ΜέΡΑ25,92969084,92969084,0,0,0,0,0,0
Γρηγοριάδης Γεωργίου Κλέων,Γρηγοριάδης,Γρηγοριάδης Κλέων,ΜέΡΑ25,0,0,0,0,0,0,0,0
Σακοράφα Ηλία Σοφία,Σακοράφα,Σακοράφα Σοφία,ΜέΡΑ25,533082734,533082734,0,0,0,0,0,0
