Name (Long),Surname,Name,Party,Twitter Handle,Result 1,Result 2,Result 3,Result 4,Result 5,Result 6,Result 7
Γκίκας Σωτηρίου Στέφανος,Γκίκας,Γκίκας Στέφανος,ΝΔ,STEFANOS_GIKAS,@STEFANOS_GIKAS,@STEFANOS_GIKAS,@reeza_restaurant,,,,
Καππάτος Σπυρίδωνος-Διονυσίου Παναγής,Καππάτος,Καππάτος Παναγής,ΝΔ,pkappatos,@pkappatos,,,,,,
Γεωργαντάς Παύλου Γεώργιος,Γεωργαντάς,Γεωργαντάς Γεώργιος,ΝΔ,georgantasgr,@georgantasgr,@georgantasgr,,,,,
Βρυζίδου Παναγιώτη Παρασκευή,Βρυζίδου,Βρυζίδου Παρασκευή,ΝΔ,Vrizidou_Vicky,,,,,,,
Αμανατίδης Ισαάκ Γεώργιος,Αμανατίδης,Αμανατίδης Γεώργιος,ΝΔ,amanatidis_g,@amanatidis_g,,,,,,
Παπαδόπουλος Γεωργίου Μιχάλης,Παπαδόπουλος,Παπαδόπουλος Μιχάλης,ΝΔ,papadopoulosmix,@michalisspap,@nikoschristodoulides,,,,,
Κωνσταντινίδης Κωνσταντίνου Ευστάθιος,Κωνσταντινίδης,Κωνσταντινίδης Ευστάθιος,ΝΔ,Stathis_Konst,,,,,,,
Σούκουλη - Βιλιάλη Δημητρίου Μαρία Ελένη (Μαριλένα),Σούκουλη,Σούκουλη Μαριλένα,ΝΔ,msoukouli,@msoukouli,@msoukouli,,,,,
Ταγαράς Χρήστου Νικόλαος,Ταγαράς,Ταγαράς Νικόλαος,ΝΔ,TagarasNikos,,,,,,,
Δήμας Σταύρου Χρίστος,Δήμας,Δήμας Χρίστος,ΝΔ,ChristosDimas_,@ChristosDimas_,@ChristosDimas_,@gzarifopoulos,,,,
Βρούτσης Βασιλείου Ιωάννης,Βρούτσης,Βρούτσης Ιωάννης,ΝΔ,vroutsisgiannis,@VroutsisGiannis,,,,,,
Μονογυιού Αικατερίνη,Μονογυιού,Μονογυιού Αικατερίνη,ΝΔ,MonogiouKateri1,@KMonogiou,@katerina_monogiou,@KMonogiou,,,,
Φόρτωμας Αριστοτέλη Φίλιππος,Φόρτωμας,Φόρτωμας Φίλιππος,ΝΔ,,@philip_fortomas,@HaraXanthi,@HaraXanthi,,,,
Κρητικός Δημοσθένη Νεοκλής,Κρητικός,Κρητικός Νεοκλής,ΝΔ,neokliskritikos,,,,,,,
Δαβάκης Παναγιώτη Αθανάσιος,Δαβάκης,Δαβάκης Αθανάσιος,ΝΔ,adavakis,@adavakis,,,,,,
Κέλλας Αχιλλέα Χρήστος,Κέλλας,Κέλλας Χρήστος,ΝΔ,kellas_xristos,@kellas_xristos,@kellas_xristos,@christina,,,,
Μπίζιου Νικολάου Στεργιανή (Στέλλα),Μπίζιου,Μπίζιου Στέλλα,ΝΔ,BiziouStella,@stellabiziou,,,,,,
Χαρακόπουλος Παντελή Μάξιμος,Χαρακόπουλος,Χαρακόπουλος Μάξιμος,ΝΔ,pantamaximos,@pantamaximos,@pantamaximos,,,,,
Πλακιωτάκης Ιωσήφ Ιωάννης,Πλακιωτάκης,Πλακιωτάκης Ιωάννης,ΝΔ,g_plakiotakis,@G_Plakiotakis,@G_Plakiotakis,@rafnar_hellas,,,,
Αθανασίου Χριστόφα Χαράλαμπος,Αθανασίου,Αθανασίου Χαράλαμπος,ΝΔ,XarAthan,@XarAthan,@XarAthan,,,,,
Καββαδάς Ιωάννη Αθανάσιος,Καββαδάς,Καββαδάς Αθανάσιος,ΝΔ,,,,,,,,
Μπουκώρος Γεωργίου Χρήστος,Μπουκώρος,Μπουκώρος Χρήστος,ΝΔ,chboukoros1,@chboukoros1,@chboukoros1,,,,,
Μαραβέγιας Αριστοτέλη Κωνσταντίνος,Μαραβέγιας,Μαραβέγιας Κωνσταντίνος,ΝΔ,maravegiaskost,@odeon_gr,@margaritamara1,@ConstantinosHP,@ERTdeka,,,
Μακρή Μιχαήλ Ζωή (Ζέττα),Μακρή,Μακρή Ζέττα,ΝΔ,zettamakri,@ZettaMakri,@ZettaMakri,,,,,
Λιούπης Κωνσταντίνου Αθανάσιος,Λιούπης,Λιούπης Αθανάσιος,ΝΔ,,@amirasgiorgos,@amirasgiorgos,@amirasgiorgos,,,,
Μαντάς Παντελή Περικλής,Μαντάς,Μαντάς Περικλής,ΝΔ,periklismantas,@periklismantas,@dorisstrohmaier,@periklis_mantas,,,,
Λαμπρόπουλος Δημητρίου Ιωάννης,Λαμπρόπουλος,Λαμπρόπουλος Ιωάννης,ΝΔ,,@NovaGreece,,,,,,
Σαμαράς Κωνσταντίνου Αντώνιος,Σαμαράς,Σαμαράς Αντώνιος,ΝΔ,samaras_antonis,@samaras_antonis,@samaras_antonis,@tsapatakis_a,@samaras_antonis,,,
Χρυσομάλλης Παναγιώτη Μιλτιάδης (Μίλτος),Χρυσομάλλης,Χρυσομάλλης Μίλτος,ΝΔ,chrysomallism,@chrysomallism,,,,,,
Τσιλιγγίρης Γεωργίου Σπυρίδων (Σπύρος),Τσιλιγγίρης,Τσιλιγγίρης Σπύρος,ΝΔ,,@ParosMunicipal,,,,,,
Σταμενίτης Ευαγγέλου Διονύσιος,Σταμενίτης,Σταμενίτης Διονύσιος,ΝΔ,dionstamenitis,@dionstamenitis,@dionstamenitis,,,,,
Καρασμάνης Αθανασίου Γεώργιος,Καρασμάνης,Καρασμάνης Γεώργιος,ΝΔ,,@TheBenakiMuseum,,,,,,
Βασιλειάδης Νικολάου Βασίλειος (Λάκης),Βασιλειάδης,Βασιλειάδης Λάκης,ΝΔ,lakis_vas,@lakis_vas,,,,,,
Μάνη-Παπαδημητρίου Ευαγγέλου ΄Αννα,Μάνη-Παπαδημητρίου,Μάνη-Παπαδημητρίου ΄Αννα,ΝΔ,,@christina,,,,,,
Μπαραλιάκος Ελευθερίου Ξενοφών (Φώντας),Μπαραλιάκος,Μπαραλιάκος Φώντας,ΝΔ,fbaraliakos,,,,,,,
Χιονίδης Γεωργίου Σάββας,Χιονίδης,Χιονίδης Σάββας,ΝΔ,HionidisSavvas,@bjiQBV9eFQIQuVi,@HionidisSavvas,,,,,
Γιαννάκης Κωνσταντίνου Στέργιος,Γιαννάκης,Γιαννάκης Στέργιος,ΝΔ,stergiannakis,,,,,,,
Κεφαλογιάννης Αχιλλέα Ιωάννης,Κεφαλογιάννης,Κεφαλογιάννης Ιωάννης,ΝΔ,gkefalogiannis,@gkefalogiannis,@gkefalogiannis,@ciao,,,,
Στυλιανίδης Στυλιανού Ευριπίδης,Στυλιανίδης,Στυλιανίδης Ευριπίδης,ΝΔ,e_stylianidis,@e_stylianidis,,,,,,
Στεφανάδης Ισιδώρου Χριστόδουλος,Στεφανάδης,Στεφανάδης Χριστόδουλος,ΝΔ,ChStefanadis,,,,,,,
Λεονταρίδης Χρήστου Θεόφιλος,Λεονταρίδης,Λεονταρίδης Θεόφιλος,ΝΔ,The_Leontaridis,@The_Leontaridis,@The_Leontaridis,,,,,
Καραμανλής Αχιλλέα Κωνσταντίνος,Καραμανλής,Καραμανλής Κωνσταντίνος,ΝΔ,karamanlis_k,@karamanlis_k,@karamanlis_k,@K_Karamanlis,@kostakaramanlis,@idKaramanlis,,
Αραμπατζή Αθανασίου Φωτεινή,Αραμπατζή,Αραμπατζή Φωτεινή,ΝΔ,ArampatziFotini,@ArampatziFotini,@arampatzifoteini,,,,,
Χατζηβασιλείου Γεωργίου Αναστάσιος (Τάσος),Χατζηβασιλείου,Χατζηβασιλείου Τάσος,ΝΔ,tasos_chatziv,@tasos_chatziv,@opentvgr,,,,,
Λιούτας Αχιλλέως Αθανάσιος,Λιούτας,Λιούτας Αθανάσιος,ΝΔ,,@edailygr,@marixana,,,,,
Σκρέκας Θεοδώρου Κωνσταντίνος,Σκρέκας,Σκρέκας Κωνσταντίνος,ΝΔ,KostasSkrekas,@KostasSkrekas,@KostasDervos,@kanaliena904,@fortsakis,,,
Παπακώστα - Παλιούρα Δημητρίου Αικατερίνη (Κατερίνα),Παπακώστα,Παπακώστα Κατερίνα,ΝΔ,papakostakater,@kpapakosta,@kpapakosta,@papakostakater,@kpapakosta,,,
Οικονόμου Δημητρίου Ιωάννης,Οικονόμου,Οικονόμου Ιωάννης,ΝΔ,joikonomou,@CqbNqsBeyVvFe0J,@jsarakiotis,@JohanCruyff,,,,
Σταϊκούρας Κωνσταντίνου Χρήστος,Σταϊκούρας,Σταϊκούρας Χρήστος,ΝΔ,cstaikouras,@cstaikouras,@cstaikouras,,,,,
Κοτρωνιάς Νικολάου Γεώργιος,Κοτρωνιάς,Κοτρωνιάς Γεώργιος,ΝΔ,,,,,,,,
Χειμάρας Αθανασίου Θεμιστοκλής (Θέμης),Χειμάρας,Χειμάρας Θέμης,ΝΔ,T_Cheimaras,@T_Cheimaras,,,,,,
Αντωνιάδης Δημητρίου Ιωάννης,Αντωνιάδης,Αντωνιάδης Ιωάννης,ΝΔ,GIANNISFLORINA,@GIANNISFLORINA,@iantoniadis75,@iantoniadis75,,,,
Μπούγας Δημητρίου Ιωάννης,Μπούγας,Μπούγας Ιωάννης,ΝΔ,ioannis_mpougas,@ioannis_mpougas,@ioannis_mpougas,,,,,
Βαγιωνάς Κωνσταντίνου Γεώργιος,Βαγιωνάς,Βαγιωνάς Γεώργιος,ΝΔ,GVagionas,,,,,,,
Διγαλάκης Βασιλείου Βασίλειος,Διγαλάκης,Διγαλάκης Βασίλειος,ΝΔ,vdigalakis,@vdigalakis,,,,,,
Μπακογιάννη Κωνσταντίνου Θεοδώρα (Ντόρα),Μπακογιάννη,Μπακογιάννη Ντόρα,ΝΔ,Dora_Bakoyannis,@Dora_Bakoyannis,@dbakoyannis,@Dora_Bakoyannis,,,,
Βολουδάκης Γεωργίου Μανούσος - Κωνσταντίνος,Βολουδάκης,Βολουδάκης Κωνσταντίνος,ΝΔ,MVoloudakis,@DimakisNikos,@DimakisNikos,,,,,
Μηταράκης Αντωνίου Παναγιώτης (Νότης),Μηταράκης,Μηταράκης Νότης,ΝΔ,nmitarakis,@nmitarakis,@nmitarakis,@nmitarakis,,,,
Αχτσιόγλου Θεμιστοκλή Ευτυχία,Αχτσιόγλου,Αχτσιόγλου Ευτυχία,ΣΥΡΙΖΑ,E_Achtsioglou,,,,,,,
Βασιλικός Νικολάου Βασίλειος (Βασίλης),Βασιλικός,Βασιλικός Βασίλης,ΣΥΡΙΖΑ,,@vasilis_vasilikos,@MMavrikios,@CaritasEuropa,,,,
Σκουρλέτης Βασιλείου Παναγιώτης (Πάνος),Σκουρλέτης,Σκουρλέτης Πάνος,ΣΥΡΙΖΑ,pskourl,@pskourl,,,,,,
Φλαμπουράρης Γερασίμου Αλέξανδρος,Φλαμπουράρης,Φλαμπουράρης Αλέξανδρος,ΣΥΡΙΖΑ,,@AntilianKotzai,@godelitsas,@AntilianKotzai,,,,
Φίλης Αριστοτέλη Νικόλαος,Φίλης,Φίλης Νικόλαος,ΣΥΡΙΖΑ,nikosfilis1,@nikosfilis1,@ciao,@inde_news,,,,
Τζανακόπουλος Μόσχου Δημήτριος,Τζανακόπουλος,Τζανακόπουλος Δημήτριος,ΣΥΡΙΖΑ,d_tzanakopoulos,@d_tzanakopoulos,@d_tzanakopoulos,@kalimeraellada_ant1,,,,
Βερναρδάκης Δημοσθένη Χριστόφορος,Βερναρδάκης,Βερναρδάκης Χριστόφορος,ΣΥΡΙΖΑ,ChVernardakis,@ChVernardakis,@ChVernardakis,,,,,
Βούτσης Γεωργίου Νικόλαος,Βούτσης,Βούτσης Νικόλαος,ΣΥΡΙΖΑ,,@nikos_voutsis,,,,,,
Ζαχαριάδης Εμμανουήλ Κωνσταντίνος,Ζαχαριάδης,Ζαχαριάδης Κωνσταντίνος,ΣΥΡΙΖΑ,CZachariadis,@Ouinston,@aggelosview,@konmanol1,,,,
Κατρούγκαλος Στέλιου - Παναγιώτη Γεώργιος,Κατρούγκαλος,Κατρούγκαλος Γεώργιος,ΣΥΡΙΖΑ,gkatr,@GKoumoutsakos,,,,,,
Ξενογιαννακοπούλου Διονυσίου Μαρία - Ελίζα (Μαριλίζα),Ξενογιαννακοπούλου,Ξενογιαννακοπούλου Μαριλίζα,ΣΥΡΙΖΑ,marilizaxen,@MinAdminGR,,,,,,
Τσακαλώτος Στεφάνου Ευκλείδης,Τσακαλώτος,Τσακαλώτος Ευκλείδης,ΣΥΡΙΖΑ,tsakalotos,@tsakalotos,@tsakalotos,@tsakalotos,,,,
Καφαντάρη Φωτίου Χαρούλα (Χαρά),Καφαντάρη,Καφαντάρη Χαρά,ΣΥΡΙΖΑ,,,,,,,,
Παπαχριστόπουλος Θεμιστοκλή Αθανάσιος (Θανάσης),Παπαχριστόπουλος,Παπαχριστόπουλος Θανάσης,ΣΥΡΙΖΑ,PapachristTh,@PapachristTh,@PapachristTh,,,,,
Δραγασάκης Ανδρέα Ιωάννης,Δραγασάκης,Δραγασάκης Ιωάννης,ΣΥΡΙΖΑ,YDragasakis,@YDragasakis,@ύγειαΔραγασάκης,,,,,
Βίτσας Αθανασίου Δημήτριος,Βίτσας,Βίτσας Δημήτριος,ΣΥΡΙΖΑ,dimitrisvitsas,@dimitrisvitsas,@dimitrisvitsas,,,,,
Παππάς Στυλιανού Νικόλαος,Παππάς,Παππάς Νικόλαος,ΣΥΡΙΖΑ,nikospappas16,@nikospappas16,@3pfamilia,@nikospappas16,@ciao,,,
Μουζάλας Ευστράτιου Ιωάννης,Μουζάλας,Μουζάλας Ιωάννης,ΣΥΡΙΖΑ,imouzalas,@gpatoulis,,,,,,
Μπαλάφας Περικλή Ιωάννης,Μπαλάφας,Μπαλάφας Ιωάννης,ΣΥΡΙΖΑ,ybalafas,@nikospappas16,,,,,,
Φωτίου Βασιλείου Θεανώ,Φωτίου,Φωτίου Θεανώ,ΣΥΡΙΖΑ,TheanoFotiou,@TheanoFotiou,@TheanoFotiou,,,,,
Χρηστίδου Δημητρίου Ραλλία,Χρηστίδου,Χρηστίδου Ραλλία,ΣΥΡΙΖΑ,Ral_Christidou,@Ral_Christidou,@rallia_,@Ral_Christidou,,,,
Δρίτσας Παναγιώτη Θεόδωρος,Δρίτσας,Δρίτσας Θεόδωρος,ΣΥΡΙΖΑ,,@teodritsas,,,,,,
Κασιμάτη Γεωργίου Ειρήνη (Νίνα),Κασιμάτη,Κασιμάτη Νίνα,ΣΥΡΙΖΑ,ninakasimati,@ninakasimati_,@ninakasimati,@ninakasimati,,,,
Αλεξιάδης Ζαφειρίου Τρύφων,Αλεξιάδης,Αλεξιάδης Τρύφων,ΣΥΡΙΖΑ,,@tralexiadis,,,,,,
Ραγκούσης Νικολάου Ιωάννης,Ραγκούσης,Ραγκούσης Ιωάννης,ΣΥΡΙΖΑ,gragkousis,,,,,,,
Σκουρολιάκος Λουκά Παναγιώτης (Πάνος),Σκουρολιάκος,Σκουρολιάκος Πάνος,ΣΥΡΙΖΑ,PanosSkourolia1,@tJ9McRK92J51eyA,@PanosSkourolia1,,,,,
Σπίρτζης Παναγιώτη Χρήστος,Σπίρτζης,Σπίρτζης Χρήστος,ΣΥΡΙΖΑ,c_spirtzis,@c_spirtzis,@jsarakiotis,@c_spirtzis,@rallia_,@alexistsipras,@mariaapatzidi,@ethnosnewspaper
Αθανασίου Ευθυμίου Αθανάσιος (Νάσος),Αθανασίου,Αθανασίου Νάσος,ΣΥΡΙΖΑ,nasosa8anasiou,@nasosa8anasiou,@nasosa8anasiou,@Cursed_hs,,,,
Τσίπρας Ηρακλή Γεώργιος,Τσίπρας,Τσίπρας Γεώργιος,ΣΥΡΙΖΑ,giorgostsipras,@giorgostsipras,@giorgostsipras,@GiorgosKyrtsos,,,,
Βαρεμένος Βασιλείου Γεώργιος,Βαρεμένος,Βαρεμένος Γεώργιος,ΣΥΡΙΖΑ,GVaremenos,@GVaremenos,@GVaremenos,,,,,
Μωραΐτης Χρήστου Αθανάσιος (Θάνος),Μωραΐτης,Μωραΐτης Θάνος,ΣΥΡΙΖΑ,thanos_moraitis,@thanos_moraitis,@moraitis_thanos,@thanos_moraitis,,,,
Γκιόλας Δημητρίου Ιωάννης,Γκιόλας,Γκιόλας Ιωάννης,ΣΥΡΙΖΑ,,,,,,,,
Παπαηλιού Ηλία Γεώργιος,Παπαηλιού,Παπαηλιού Γεώργιος,ΣΥΡΙΖΑ,,,,,,,,
Γεροβασίλη Βασιλείου Όλγα,Γεροβασίλη,Γεροβασίλη Όλγα,ΣΥΡΙΖΑ,olgagerovasili,@olgagerovasili,@olgagerovasili,,,,,
Αναγνωστοπούλου Πέτρου Αθανασία (Σία),Αναγνωστοπούλου,Αναγνωστοπούλου Σία,ΣΥΡΙΖΑ,sia_anag,@sia_anag,@sia_anag,,,,,
Μάρκου Βασιλείου Κωνσταντίνος,Μάρκου,Μάρκου Κωνσταντίνος,ΣΥΡΙΖΑ,,@emiliosmarku,@geomarkou1,@costas,@α,,,
Τσίπρας Παύλου Αλέξιος,Τσίπρας,Τσίπρας Αλέξιος,ΣΥΡΙΖΑ,atsipras,,,,,,,
Πούλου Λεωνίδα Παναγιού (Γιώτα),Πούλου,Πούλου Γιώτα,ΣΥΡΙΖΑ,GIOTAPOULOU,@dimoslevadewn,,,,,,
Ξανθόπουλος Σάββα Θεόφιλος,Ξανθόπουλος,Ξανθόπουλος Θεόφιλος,ΣΥΡΙΖΑ,Xanthopoulosth,@Xanthopoulosth,,,,,,
Σαντορινιός Κωνσταντίνου Νεκτάριος,Σαντορινιός,Σαντορινιός Νεκτάριος,ΣΥΡΙΖΑ,nectarsant,@nectarsant,@nectarsant,,,,,
Γκαρά Γεωργίου Αναστασία (Νατάσα),Γκαρά,Γκαρά Νατάσα,ΣΥΡΙΖΑ,NatasaGkara,@NatasaGkara,@NatasaGkara,,,,,
Αποστόλου Δημητρίου Ευάγγελος,Αποστόλου,Αποστόλου Ευάγγελος,ΣΥΡΙΖΑ,vag_apos,@vag_apos,@vag_apos,,,,,
Χατζηγιαννάκης Ευαγγέλου Μιλτιάδης,Χατζηγιαννάκης,Χατζηγιαννάκης Μιλτιάδης,ΣΥΡΙΖΑ,,@miltoschatzigiannakis,,,,,,
Καλαματιανός Χρήστου Διονύσιος-Χαράλαμπος,Καλαματιανός,Καλαματιανός Διονύσιος-Χαράλαμπος,ΣΥΡΙΖΑ,dckalamatianos,,,,,,,
Καρασαρλίδου Γεωργίου Ευφροσύνη (Φρόσω),Καρασαρλίδου,Καρασαρλίδου Φρόσω,ΣΥΡΙΖΑ,FKarasarlidou,,,,,,,
Ηγουμενίδης Εμμανουήλ Νικόλαος,Ηγουμενίδης,Ηγουμενίδης Νικόλαος,ΣΥΡΙΖΑ,IgoumenidisN,,,,,,,
Βαρδάκης Δημητρίου Σωκράτης,Βαρδάκης,Βαρδάκης Σωκράτης,ΣΥΡΙΖΑ,sokrvardakis,@sokrvardakis,@sokrvardakis,,,,,
Μαμουλάκης Αντωνίου Χαράλαμπος (Χάρης),Μαμουλάκης,Μαμουλάκης Χάρης,ΣΥΡΙΖΑ,Mamoulakis,@Mamoulakis,@Mamoulakis,,,,,
Κάτσης Σπυρίδωνος Μάριος,Κάτσης,Κάτσης Μάριος,ΣΥΡΙΖΑ,marios_katsis,@marios_katsis,,,,,,
Ζουράρης Γεωργίου Κωνσταντίνος,Ζουράρης,Ζουράρης Κωνσταντίνος,ΣΥΡΙΖΑ,,@zouraris,@dimitris_takis,,,,,
Γιαννούλης Ιωάννη Χρήστος,Γιαννούλης,Γιαννούλης Χρήστος,ΣΥΡΙΖΑ,giannoul,@giannoul,@xristosgiannoulis,@giannoul,@christosgiannoulis_,,,
Αμανατίδης Γεωργίου Ιωάννης,Αμανατίδης,Αμανατίδης Ιωάννης,ΣΥΡΙΖΑ,amanatidis_gian,@Amanatidis_Gian,@retrospecteur,,,,,
Νοτοπούλου Παναγιώτη Αικατερίνη (Κατερίνα),Νοτοπούλου,Νοτοπούλου Κατερίνα,ΣΥΡΙΖΑ,katenotopoulou,@katenotopoulou,@notopoulou_katerina,@katenotopoulou,,,,
Τριανταφυλλίδης Γεωργίου Αλέξανδρος (Αλέκος),Τριανταφυλλίδης,Τριανταφυλλίδης Αλέκος,ΣΥΡΙΖΑ,tr_alexandros,@tr_alexandros,,,,,,
Φάμελλος Πέτρου Σωκράτης,Φάμελλος,Φάμελλος Σωκράτης,ΣΥΡΙΖΑ,sfamellos,@SFamellos,@SFamellos,,,,,
Αυγέρη Πέτρου Θεοδώρα (Δώρα),Αυγέρη,Αυγέρη Δώρα,ΣΥΡΙΖΑ,davgeri,@davgeri,@davgeri,,,,,
Τζούφη Στεφάνου Μερόπη,Τζούφη,Τζούφη Μερόπη,ΣΥΡΙΖΑ,meropitzoufi,@meropitzoufi,,,,,,
Ελευθεριάδου Παύλου Σουλτάνα,Ελευθεριάδου,Ελευθεριάδου Σουλτάνα,ΣΥΡΙΖΑ,teleftheriadou,@teleftheriadou,,,,,,
Λάππας Ευαγγέλου Σπυρίδωνας,Λάππας,Λάππας Σπυρίδωνας,ΣΥΡΙΖΑ,spyroslappas1,,,,,,,
Τελιγιορίδου Ιωάννη Ολυμπία,Τελιγιορίδου,Τελιγιορίδου Ολυμπία,ΣΥΡΙΖΑ,teligioridou,@teligioridou,,,,,,
Αυλωνίτης Νικολάου Αλέξανδρος - Χρήστος,Αυλωνίτης,Αυλωνίτης Χρήστος,ΣΥΡΙΖΑ,a_avlonitis,,,,,,,
Αγαθοπούλου Δημητρίου Ειρήνη-Ελένη,Αγαθοπούλου,Αγαθοπούλου Ειρήνη-Ελένη,ΣΥΡΙΖΑ,iriniagath,@iriniagath,@iriniagath,,,,,
Βέτα Δημητρίου Καλλιόπη,Βέτα,Βέτα Καλλιόπη,ΣΥΡΙΖΑ,,,,,,,,
Ψυχογιός Κωνσταντίνου Γεώργιος,Ψυχογιός,Ψυχογιός Γεώργιος,ΣΥΡΙΖΑ,g_psychogios,@Geo_Psychogios,@g_psychogios,@korres,,,,
Συρμαλένιος Ευαγγέλου Νικόλαος,Συρμαλένιος,Συρμαλένιος Νικόλαος,ΣΥΡΙΖΑ,syrmal2000,,,,,,,
Αραχωβίτης Γεωργίου Σταύρος,Αραχωβίτης,Αραχωβίτης Σταύρος,ΣΥΡΙΖΑ,,@Laconialive,,,,,,
Βαγενά Κηλαηδόνη χήρα Λουκιανού Άννα,Βαγενά,Βαγενά Άννα,ΣΥΡΙΖΑ,annavayena,@annavayena,,,,,,
Κόκκαλης Κωνσταντίνου Βασίλειος,Κόκκαλης,Κόκκαλης Βασίλειος,ΣΥΡΙΖΑ,vasiliskokkalhs,@VASILISKOKKALHS,@VASILISKOKKALHS,,,,,
Θραψανιώτης Μιχαήλ Εμμανουήλ,Θραψανιώτης,Θραψανιώτης Εμμανουήλ,ΣΥΡΙΖΑ,,,,,,,,
Μπουρνούς Δημητρίου Ιωάννης,Μπουρνούς,Μπουρνούς Ιωάννης,ΣΥΡΙΖΑ,alterglobal,@alterglobal,@MylopYannis,,,,,
Μεϊκόπουλος Μιχαήλ Αλέξανδρος,Μεϊκόπουλος,Μεϊκόπουλος Αλέξανδρος,ΣΥΡΙΖΑ,A_Meikopoulos,,,,,,,
Παπανάτσιου Στέργιου Αικατερίνη,Παπανάτσιου,Παπανάτσιου Αικατερίνη,ΣΥΡΙΖΑ,,,,,,,,
Χαρίτσης Βύρωνα Αλέξανδρος (Αλέξης),Χαρίτσης,Χαρίτσης Αλέξης,ΣΥΡΙΖΑ,alexischaritsis,@alexischaritsis,@alexischaritsis,@alexischaritsis,@alexistsipras,@rallia_,,
Ζεϊμπέκ Χασάν Χουσεϊν,Ζεϊμπέκ,Ζεϊμπέκ Χουσεϊν,ΣΥΡΙΖΑ,ZeybekHuseyin,,,,,,,
Τζάκρη Εμμανουήλ Θεοδώρα,Τζάκρη,Τζάκρη Θεοδώρα,ΣΥΡΙΖΑ,tzakri,@tzakri,@rallia_,,,,,
Σκούφα Δημητρίου Ελισσάβετ (Μπέττυ),Σκούφα,Σκούφα Μπέττυ,ΣΥΡΙΖΑ,BSkoufa,@mainandros,,,,,,
Μπάρκας Θεοφάνη Κωνσταντίνος,Μπάρκας,Μπάρκας Κωνσταντίνος,ΣΥΡΙΖΑ,kostasbarkas,@kostasbarkas,@kostasbarkas,@ciao,@pkonstantineas7,,,
Ξανθός Γεωργίου Ανδρέας,Ξανθός,Ξανθός Ανδρέας,ΣΥΡΙΖΑ,andreasxanthos,@andreasxanthos,@andreasxanthos,@syriza,,,,
Χαρίτου Αθανασίου Δημήτριος (Τάκης),Χαρίτου,Χαρίτου Τάκης,ΣΥΡΙΖΑ,,,,,,,,
Αβραμάκης Αντωνίου Ελευθέριος,Αβραμάκης,Αβραμάκης Ελευθέριος,ΣΥΡΙΖΑ,,,,,,,,
Παπαδόπουλος Αποστόλου Αθανάσιος (Σάκης),Παπαδόπουλος,Παπαδόπουλος Σάκης,ΣΥΡΙΖΑ,sakis_papad,@spiros_papadopoulos_official,@eirini_papadopoulou,@natasatheodoridou,,,,
Σαρακιώτης Αθανασίου Ιωάννης,Σαρακιώτης,Σαρακιώτης Ιωάννης,ΣΥΡΙΖΑ,jsarakiotis,@JSarakiotis,@JSarakiotis,@jsarakiotis,,,,
Πέρκα Χαράλαμπου Θεοπίστη (Πέτη),Πέρκα,Πέρκα Πέτη,ΣΥΡΙΖΑ,PetiPerka,,,,,,,
Μάλαμα Ιωάννη Κυριακή,Μάλαμα,Μάλαμα Κυριακή,ΣΥΡΙΖΑ,KiriakiMalama,@KiriakiMalama,,,,,,
Πολάκης Πέτρου Παύλος,Πολάκης,Πολάκης Παύλος,ΣΥΡΙΖΑ,pavpol2222,@pavpol2222,,,,,,
Μιχαηλίδης Φραγκούλη Ανδρέας,Μιχαηλίδης,Μιχαηλίδης Ανδρέας,ΣΥΡΙΖΑ,,@michaelidesa,,,,,,
