screen_name,id,protected,real_name,name,Greeklish,Uppercase,Different_Name
teligioridou,1057566665595076608,False,Τελιγιορίδου Ολυμπία,Ολυμπία Τελιγιορίδου,False,False,False
a_avlonitis,1161547840449130497,False,Αυλωνίτης Χρήστος,Αλέξανδρος Αυλωνίτης,False,False,True
iriniagath,487731215,False,Αγαθοπούλου Ειρήνη-Ελένη,Ειρηνη Αγαθοπουλου,False,False,False
g_psychogios,3100185977,False,Ψυχογιός Γεώργιος,Giorgos Psychogios,True,False,True
syrmal2000,349090550,False,Συρμαλένιος Νικόλαος,Nikos Sirmalenios,True,False,True
annavayena,3377051099,False,Βαγενά Άννα,Άννα Βαγενά,False,False,False
VASILISKOKKALHS,555858535,False,Κόκκαλης Βασίλειος,Βασίλης Κόκκαλης,False,False,True
alterglobal,24637896,False,Μπουρνούς Ιωάννης,Γιάννης Μπουρνούς - Yiannis Bournous,False,False,True
A_Meikopoulos,1001342479,False,Μεϊκόπουλος Αλέξανδρος,Α. Μεϊκόπουλος,False,False,True
alexischaritsis,973164892877459456,False,Χαρίτσης Αλέξης,Αλέξης Χαρίτσης,False,False,False
ZeybekHuseyin,338861628,False,Ζεϊμπέκ Χουσεϊν,huseyin zeybek,True,False,False
tzakri,413080707,True,Τζάκρη Θεοδώρα,Θεοδώρα Τζάκρη,False,False,False
BSkoufa,712255673178976256,False,Σκούφα Μπέττυ,Μπέττυ Σκούφα - Betty Skoufa,False,False,False
kostasbarkas,4178705584,False,Μπάρκας Κωνσταντίνος,Κώστας Μπάρκας - Kostas Barkas,False,False,True
andreasxanthos,1701576919,False,Ξανθός Ανδρέας,andreasxanthos,True,False,False
sakis_papad,970306790,False,Παπαδόπουλος Σάκης,Σάκης Παπαδόπουλος,False,False,False
JSarakiotis,709702013865562112,False,Σαρακιώτης Ιωάννης,Ιωάννης Σαρακιώτης • Ioannis Sarakiotis,False,False,False
PetiPerka,1059819442572611584,False,Πέρκα Πέτη,Peti Perka,True,False,False
KiriakiMalama,1150482424134086659,False,Μάλαμα Κυριακή,kiriaki.malama,True,False,False
pavpol2222,2367424185,False,Πολάκης Παύλος,Παυλος Πολακης,False,False,False
